title;oldPrice;realPrice;discauntPrice;photo;alltext;Цоколь;Артикул;Цвет;Размеры мм (длина * толщина)
Ecola GX53 H4  Square светильник квадратный без рефл. Черненая бронза 107x41 ;;130;;http://svetonik.ru/upload/iblock/84d/84d980ea6a12de3c98a2e6f2e678d9cd.png;;GX53;10795;107х41
Ecola GX53 H4  Square светильник квадратный без рефл. Хром 107x41  ;;133;;http://svetonik.ru/upload/iblock/530/5300f3cef4e70878795ad7a692cd6c46.png;;GX53;10792;Хром;107х41
Ecola GX53 H4  Square светильник квадратный без рефл. Сатин-хром 107x41  ;;133;;http://svetonik.ru/upload/iblock/655/655a6afe58d4b780134bcb27c0d0177b.png;;GX53;10793;Сатин-хром;107х41
Ecola GX53 H4  Square светильник квадратный без рефл. Золото 107x41 ;;125;;http://svetonik.ru/upload/iblock/8e8/8e8db5d88ff7c1198becb9f5a653584b.png;;GX53;10794;Золото;107х41
Ecola GX53 H4  Square светильник квадратный без рефл. Жемчуг 107x41 (к+);;133;;http://svetonik.ru/upload/iblock/30d/30ded1022ecf604f5645b2d405af7c01.png;Ecola GX53 H4  Square светильник квадратный без рефл. Жемчуг 107x41 (к+);GX53;10268750;Жемчуг;107х41;H4
Ecola GX53 H4  Square светильник квадратный без рефл. Белый  107x41 ;;129;;http://svetonik.ru/upload/iblock/eb1/eb1e66f9d44e981644561928129752c9.png;;GX53;10791;Белый;107х41
Ecola GX53 H4  Square квадратный Черный Хром плоский 106x41 (к+);;126;;http://svetonik.ru/upload/iblock/570/57073ddb92c532b350edcd4a51ff1891.png;Ecola GX53 H4  Square квадратный Черный Хром плоский 106x41 (к+);GX53;12637201;Черный хром;106х41;H4
Ecola GX53 H4  Square квадратный Черненая бронза плоский 106x41 (к+);;126;;http://svetonik.ru/upload/iblock/84c/84c55fbae89df801e49bb56d34a7bc8b.png;Ecola GX53 H4  Square квадратный Черненая бронза плоский 106x41 (к+);GX53;12637204;Черненая бронза ;106х41;H4
Ecola GX53 H4  Square open edge квадратный Хром с открытым краем 106x41;;136;;http://svetonik.ru/upload/iblock/78b/78b9237d3c8d18db2439bf2e789aa8ff.png;;GX53;10823;Хром;106х41;H4
Ecola GX53 H4  Square open edge квадратный Сатин-Хром с открытым краем 106x41;;126;;http://svetonik.ru/upload/iblock/6d6/6d63aeffee1e98832299ea933faafddf.png;;GX53;10824;Сатин-хром;106х41;H4
Ecola GX53 H4  Square open edge квадратный Золото с открытым краем 106x41;;126;;http://svetonik.ru/upload/iblock/322/322e6ee31c7af350616c3f2cb8f574a6.png;;GX53;10825;Золото;106х41;H4
Ecola GX53 H4  Square open edge квадратный Белый с открытым краем 106x41;;126;;http://svetonik.ru/upload/iblock/14a/14a5f9386f0a47d4c5fcc4f7ef9d6898.png;;10822
Ecola GX53 FT3238 светильник встр. без рефлектора Эллипс хром 41x126x106 ;;126;;http://svetonik.ru/upload/iblock/a47/a47105b34a976b8f35a26c7e301d881f.png;;GX53;10699;Хром;41х126х106
Ecola GX53 FT3238 светильник встр. без рефлектора Эллипс сатин-хром 41x126x106 ;;126;;http://svetonik.ru/upload/iblock/632/63291ff593b478da2d5b103f39f70a88.png;;GX53;10700;Сатин-хром;41х126х106
Ecola GX53 FT3238 светильник встр. без рефлектора Эллипс золото 41x126x106 ;;126;;http://svetonik.ru/upload/iblock/d93/d93964b499ce1f47c15eb834e0fc1fff.png;;GX53;10701;Золото;41х126х106
Ecola GX53 FT3238 светильник встр. без рефлектора Эллипс белый 41x126x106 ;;118;;http://svetonik.ru/upload/iblock/db2/db2d26182a752a7c2482399e0db9b040.png;;GX53;10702;Белый;41х126х106
